svenska,engelska
a phrase with word beginning with the same sound,alliteration
en fientlighet,enmity   s
ett undantag,Aberration
"att avsky, hata",abhor
"är överflödande, överflödigt",abundantly
frikänna,acuit      v
"ansluten, ihopklistrad",adherent
ett ungdomstadium,Adolescence
på drift,Adrift
A first appearance,Advent
kritisk,adverse
"förargande, retande",aggravated
"sammla, total",Aggregate
Political controversy,Agitation
otålighet,alacrity     s
Alle,Alameda
"landa, falla ner",alight     v
"gruppera, alians",Alignment
"mildra, lindra",Alleviate
"att sammla ihopp, att akumulera",amass
mixed feelings,Ambivalence
"vänskaplig, trevlig",amiable         a
"Person that is cronologically out of place, otidsenlig",Anachronism
att lugna ner någon,appease    v
"anhålla, gripa, begripa,uppfatta",apprehend
"domare, bedömmare",Arbiter
"dold, hemlig",arcane    a
väcka,arouse
uppstiga,ascend
kristihimmel färdsdag,ascension
tillskriva,ascribe
"påstå, hävda",assert
"fräck, djärv",Audacious
Öka,Augment
en extrem snålhet,avarice       s
att frukta,awe
ett ogillande,aversion       s
"falsk, felaktig",Awry            a
"ett hinder, att undvika, att försumma",balk              s
unproductive,barren
försenad,belatedly
"fientlig, kritisk",Belligerent    a
fräck,brazen
brutal,brute    s
att övertala,cajole   v
kallsinnig,callous     a
"ärlighet, öppenhet",candor     s
självsäkerhet,certitude
att säga nej,chide     v
stark känsla,chord
försiktig,circumspect     a
kringgå,circumvent
hemlig,clandestine    a
klo,claw
"strike, slag, tex politiskt slag",clout
att tvinga någon,coerce   v
logiskt sammanhängande,coherent
sammanhängande,cohesive
börja,commence    v
en medveten förnekan av fara,complacency   s
delaktighet,complicity   n
förståelse,comprehension
Omfatta,comprise
"eftergift, beviljande, rabatt",concession       n
konsist,concise
överseende,Condone
"dela ut, skänka",confer         v
en trosförvant,confidant    s
överenstämmelse,Conformance
destruktiv,confounding
att ha bibetydelse,connote
tröst,consolation
strida,contend
"gå emot, motsätta sig",contravene    v
homegen exklusive grupp med viss gemensam intresse,coterie
Rå,Crude
akumulerande,cumulative    a
katastrof,debacle
att minska trovärdigheten,debase      v
bedrägeri,Deception
avgörande,Decisive
att kritisera öppet,decry    v
"ansee, tro",deem
stöta bort,deflect
upphöra,demise
"tystlåten, reserverad",demure   a
"peka ut, brännmärka",denounce
värdminsking,deprecation
att håna,deride   v
